,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
64,371.0,414.0,722.0,4474.0,1875.0,1039.5116,0.001241982,0.053146955,0.8468525,-0.4439738,0.7545054,-0.40935582,6.0,92.0,7.0,8.0,88.0,42.0,7.5,78.0,11.0,22.5,62.0,37.0,41.240852,3165899.3788439278,-1974447.4933567832,1,forest
65,371.0,328.0,662.0,3800.0,2039.0,1002.79865,0.0016969144,0.05675751,0.82210505,-0.50981116,0.6319107,-0.30159277,7.0,80.0,16.0,10.0,76.0,11.0,4.5,74.0,19.0,8.0,73.0,16.0,6.803962,3062535.3354601953,-1976395.1247514358,2,cropland
66,993.0,539.0,724.0,2233.0,2093.0,1209.6838,0.014069349,0.08897404,0.3843769,-0.48597795,0.2191045,-0.032362457,20.0,41.0,40.0,11.0,66.0,20.5,28.0,37.5,43.0,25.5,39.0,39.0,18.283094,3063951.6533415588,-1976391.1784686563,2,cropland
67,452.0,285.0,436.0,2948.0,1652.0,565.58417,0.0027330518,0.045974188,0.7341177,-0.58237547,0.46145314,-0.28173918,3.0,75.0,23.0,25.0,58.0,24.0,24.5,76.0,21.5,24.5,61.0,25.0,82.24754,3066784.1777847935,-1976383.1698382653,1,forest
68,632.0,336.0,545.0,2090.0,1912.0,561.99084,0.0008533001,0.048930645,0.5356356,-0.55636954,0.27278852,-0.04447777,2.0,59.0,38.0,12.0,49.0,40.0,2.0,58.5,37.5,5.0,60.0,34.0,161.14761,3069616.702228029,-1976374.8130098518,1,forest
69,206.0,220.0,379.0,2620.0,1027.0,531.5947,0.0018120408,0.049067613,0.8542109,-0.46088195,0.49442893,-0.43679738,8.0,86.0,11.0,13.0,66.0,13.5,11.0,85.5,11.0,25.5,59.0,19.0,224.92244,3072449.2266712612,-1976365.9919168486,1,forest
70,165.0,178.0,343.0,3025.0,1087.0,401.92752,0.00067931414,0.0292294,0.8965517,-0.5202797,0.56388015,-0.4713035,6.0,87.0,9.0,14.5,62.0,13.5,6.0,84.0,10.0,32.5,51.0,19.0,207.8901,3075281.751114496,-1976356.8226267844,1,forest
71,236.0,223.0,450.0,3296.0,1322.0,629.27466,0.0011369288,0.038388453,0.8663646,-0.49209931,0.5866789,-0.42745778,6.0,86.0,12.0,6.0,62.0,16.0,10.0,82.5,12.5,46.5,72.0,16.0,186.05339,3076697.957676371,-1976352.179949818,1,forest
72,434.0,272.0,428.0,2853.0,1614.0,671.21893,0.0024682283,0.05995637,0.7359294,-0.58080316,0.45073414,-0.27736732,4.0,67.0,28.0,7.5,68.0,15.5,4.0,57.0,38.0,7.5,46.0,31.0,63.398308,3078114.164238243,-1976347.305140122,2,cropland
73,256.0,216.0,402.0,2817.0,1348.0,518.2731,0.001693964,0.04710143,0.8333876,-0.54057145,0.5028273,-0.35270107,2.0,81.0,17.0,38.0,68.0,18.0,6.0,78.0,20.0,40.5,56.0,22.0,78.31501,3079530.3708001147,-1976342.430331573,1,forest
