,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
318,1328.0,1144.0,1585.0,4577.0,4237.0,1362.4595,0.0029976368,0.04804323,0.5502117,-0.4555136,0.5816327,-0.038575005,40.0,53.0,5.0,38.0,33.0,28.0,31.0,62.5,35.0,42.0,56.0,2.0,2.978391,2379851.617260348,787300.3923917975,5,baresoil
319,1059.0,889.0,1184.0,824.0,755.0,853.90405,0.0125385225,0.10882476,-0.12480082,0.22124809,-0.055896476,-0.043698575,30.0,20.0,50.0,56.5,26.5,61.0,33.0,25.5,51.5,43.0,29.0,36.0,3.7705982,2379672.6750003467,787361.5084035784,5,baresoil
320,747.0,682.0,972.0,2793.0,1715.0,826.959,0.0020872355,0.056441925,0.5779661,-0.27651656,0.42064145,-0.23913045,35.0,41.0,17.0,52.0,32.0,40.5,37.0,42.0,16.5,35.5,48.0,23.0,2.577244,2379666.0098530343,787378.6796305485,5,baresoil
321,2166.0,1822.0,2082.0,3668.0,2942.0,916.87573,0.00097996,0.04511669,0.2574563,-0.17117837,0.2888684,-0.10983359,40.0,30.0,30.0,44.0,27.0,27.5,39.0,34.0,27.5,41.0,31.0,36.5,3.346564,2379562.078742428,787696.4602980902,5,baresoil
322,858.0,709.0,1013.0,3625.0,2586.0,869.52924,0.0026730895,0.05034086,0.61722064,-0.43706584,0.51410204,-0.16728388,24.0,37.0,36.0,46.0,30.0,30.5,28.0,39.5,29.0,35.0,38.0,29.0,0.0,2378627.602495749,788474.13613007,5,baresoil
323,974.0,918.0,1256.0,2511.0,1764.0,849.9612,0.0056616366,0.05806537,0.44103298,-0.16821197,0.33500433,-0.17473683,8.0,59.0,32.0,24.0,53.0,24.0,18.0,62.0,22.0,15.0,60.0,25.0,0.0,2378393.5315596852,788972.1017121975,5,baresoil
324,974.0,918.0,1256.0,2511.0,1764.0,849.9612,0.0056616366,0.05806537,0.44103298,-0.16821197,0.33500433,-0.17473683,8.0,59.0,32.0,24.0,53.0,24.0,18.0,62.0,22.0,15.0,60.0,25.0,0.0,2378388.786878547,788963.5160987128,5,baresoil
325,887.0,905.0,1215.0,2351.0,1600.0,837.54926,0.008295625,0.067918316,0.45213097,-0.13676731,0.33622706,-0.19007847,28.0,61.0,23.0,31.5,52.0,17.0,21.0,62.0,18.5,19.0,65.0,15.0,0.0,2378393.0796852903,788956.0601712125,5,baresoil
326,1650.0,1364.0,1830.0,4921.0,3829.0,1240.4155,0.0028701425,0.04751353,0.4977933,-0.35324264,0.5604482,-0.124800004,24.0,64.0,85.0,43.0,55.0,43.0,24.0,66.0,17.0,27.5,70.0,28.0,0.8145282,2378156.2975028646,789550.0490620543,5,baresoil
327,1650.0,1364.0,1830.0,4921.0,3829.0,1240.4155,0.0028701425,0.04751353,0.4977933,-0.35324264,0.5604482,-0.124800004,24.0,64.0,85.0,43.0,55.0,43.0,24.0,66.0,17.0,27.5,70.0,28.0,0.8145282,2378152.0046961186,789540.3337625847,5,baresoil
328,1650.0,1364.0,1830.0,4921.0,3829.0,1240.4155,0.0028701425,0.04751353,0.4977933,-0.35324264,0.5604482,-0.124800004,24.0,64.0,85.0,43.0,55.0,43.0,24.0,66.0,17.0,27.5,70.0,28.0,0.8145282,2378142.515333848,789530.6184631147,5,baresoil
329,1112.0,968.0,1270.0,3900.0,2581.0,694.001,0.0007736385,0.034182973,0.556265,-0.34043103,0.52358776,-0.20351794,18.0,73.0,8.0,21.0,56.0,19.5,20.0,67.0,10.0,19.0,72.0,11.5,0.9557601,2372063.3361434992,783911.7298272981,5,baresoil
330,569.0,523.0,760.0,3883.0,2173.0,883.42303,0.000893265,0.052402727,0.7443846,-0.48175925,0.61946243,-0.2823646,7.0,81.0,10.0,8.0,59.0,17.0,7.5,78.5,13.0,10.0,74.0,7.0,2.6432061,2372081.862993648,783895.91422351,5,baresoil
331,1112.0,968.0,1270.0,3900.0,2581.0,694.001,0.0007736385,0.034182973,0.556265,-0.34043103,0.52358776,-0.20351794,18.0,73.0,8.0,21.0,56.0,19.5,20.0,67.0,10.0,19.0,72.0,11.5,0.9557601,2372060.624897137,783899.0773442676,5,baresoil
332,1836.0,1576.0,1843.0,3801.0,2884.0,1010.7533,0.0026895702,0.045171175,0.3485897,-0.22022422,0.3779719,-0.1371728,16.0,61.0,25.0,25.0,42.0,38.0,20.0,60.0,24.0,20.0,61.0,22.5,-0.7094057,2369699.5811887663,783656.6467319161,5,baresoil
333,965.0,768.0,1200.0,4010.0,2728.0,1159.4045,0.0017442107,0.054967448,0.61206025,-0.38900203,0.5422008,-0.19026417,10.0,72.0,15.0,19.5,44.0,38.0,14.0,67.5,14.0,10.0,62.0,37.0,0.0662006,2369634.9631504305,783636.7642585827,5,baresoil
334,950.0,712.0,1083.0,3800.0,2747.0,847.8058,0.0013709664,0.04344779,0.6,-0.43446472,0.50317794,-0.16083704,12.0,76.0,13.0,34.0,38.0,35.0,15.5,53.0,27.0,11.5,76.0,10.0,-1.1952672,2368777.7574251196,783497.5869452471,5,baresoil
335,1126.0,872.0,1171.0,3619.0,3126.0,666.3992,0.0012008548,0.03455901,0.52539515,-0.45496857,0.45048785,-0.0730912,15.0,73.0,11.0,22.0,39.0,35.0,14.0,66.0,21.5,16.0,73.0,11.0,-1.4842745,2369207.9418481546,783565.3681043388,5,baresoil
336,1126.0,872.0,1171.0,3619.0,3126.0,666.3992,0.0012008548,0.03455901,0.52539515,-0.45496857,0.45048785,-0.0730912,15.0,73.0,11.0,22.0,39.0,35.0,14.0,66.0,21.5,16.0,73.0,11.0,-1.4842745,2369206.134350579,783588.8655728239,5,baresoil
337,859.0,668.0,1023.0,4015.0,2710.0,801.1771,0.0009889305,0.040472575,0.6475174,-0.45191532,0.5572427,-0.19405203,8.0,78.0,14.0,39.0,39.0,28.0,14.0,56.5,20.5,6.0,80.0,14.0,-1.3361887,2368805.773637544,783516.5656697928,5,baresoil
338,915.0,696.0,1076.0,4023.0,2632.0,855.2448,0.00080537796,0.049160045,0.62940466,-0.41963324,0.5436228,-0.20901574,5.0,79.0,14.0,43.0,39.0,22.0,8.0,67.0,15.0,5.0,82.0,12.0,-1.3690761,2368851.4129513307,783515.210046611,5,baresoil
339,1100.0,894.0,1291.0,4050.0,2882.0,778.0403,0.0014162362,0.037010975,0.5728156,-0.38126048,0.52886343,-0.16849396,15.0,75.0,11.0,43.0,38.0,25.0,23.0,61.5,14.0,14.5,76.0,11.0,-1.1692356,2368833.3379755737,783533.7368967626,5,baresoil
340,1156.0,914.0,1158.0,3100.0,3446.0,596.9399,0.0023501515,0.021877594,0.45676696,-0.49695918,0.36871257,0.052856687,14.0,49.0,37.0,12.0,30.0,60.0,19.0,43.0,36.0,15.0,44.0,43.0,-0.36276704,2366455.574914633,782897.9496244814,5,baresoil
342,809.0,603.0,958.0,3335.0,3322.0,646.3074,0.001992613,0.032228712,0.609556,-0.55233645,0.4620788,-0.0019528423,19.0,63.0,19.0,21.0,32.0,58.0,18.5,58.0,22.0,20.0,63.0,35.0,0.18899783,2366556.794778877,782877.16340236,5,baresoil
343,1252.0,975.0,1241.0,3259.0,3476.0,756.57117,0.0027820766,0.03651718,0.4449124,-0.47381812,0.37281272,0.032219782,12.0,51.0,35.0,26.0,24.0,51.0,15.0,48.5,33.0,14.0,54.0,35.0,-1.4769005,2366487.206122209,782863.6071705419,5,baresoil
344,992.0,781.0,1101.0,3079.0,3022.0,610.0282,0.0014101863,0.02944465,0.51265043,-0.46592286,0.3960603,-0.009342766,14.0,59.0,25.0,24.0,37.0,46.0,17.0,58.0,29.5,12.0,69.0,22.0,0.19040988,2366670.667126151,782951.2708029671,5,baresoil
345,1639.0,1427.0,1611.0,2888.0,3148.0,398.37408,0.0012868047,0.02204315,0.27590013,-0.322967,0.2597862,0.043074872,9.0,50.0,49.0,9.0,33.0,58.0,27.0,41.5,35.0,8.0,48.0,50.0,0.0,2366585.7147400877,782930.4845808457,5,baresoil
346,1147.0,864.0,1181.0,3317.0,3792.0,750.2874,0.001821816,0.03845487,0.48611113,-0.52503514,0.395437,0.06681673,26.0,57.0,27.0,16.0,34.0,57.0,24.0,50.0,35.0,11.0,62.0,34.0,0.0,2366633.6134258476,782916.0246002394,5,baresoil
355,898.0,793.0,1199.0,1904.0,1549.0,1840.084,0.014744699,0.15666607,0.35902926,-0.12736534,0.22169335,-0.10280916,24.0,68.0,31.0,48.0,30.5,57.5,45.5,44.0,43.0,24.0,70.0,36.5,0.0,2366601.0784694827,782702.739886297,6,water
356,1828.0,1469.0,1743.0,1860.0,1463.0,1823.4028,0.0043473244,0.12130374,0.008676816,0.087336235,0.006773654,-0.11947036,25.0,33.0,61.0,42.5,30.0,59.0,50.0,27.5,53.5,41.0,33.0,18.0,0.05529421,2365178.577877343,782313.2241587162,5,baresoil
